query,working_ips,broken_ips,working_types,broken_types,working_rcodes,broken_rcodes,note
avatar-r.wbx2.com,,,,,,,No difference detected
avatarnx-9928ccfa02c5722d.elb.us-east-2.amazonaws.com,,,,,,,No difference detected
avs-alexa-19-na.amazon.com,,,,,,,No difference detected
az667904.vo.msecnd.net,,,,,,,No difference detected
azat-eus2-sf-jrdssvcx2-zr.eastus2.cloudapp.azure.com,,,,,,,No difference detected
azure.archive.ubuntu.com,,,,,,,No difference detected
azuredc10.elwyn.org,,,,,,,No difference detected
azuredc11.elwyn.org,,,,,,,No difference detected
b-0005.b-msedge.net,,,,,,,No difference detected
b-graph.facebook.com,,,,,,,No difference detected
b1.nel.goog,,,,,,,No difference detected
bac-api.barracudanetworks.com,,,,,,,No difference detected
barracuda,,,,,,,No difference detected
barracuda.customer.bitleap.net,,,,,,,No difference detected
beacons.gcp.gvt2.com,,,,,,,No difference detected
bfp.global.dual.dotomi.weighted.com.akadns.net,,,,,,,No difference detected
bhnx.netsmartcloud.com,,,,,,,No difference detected
binaries.webex.com,,,,,,,No difference detected
blob.blz21prdstrz10a.trafficmanager.net,,,,,,,No difference detected
blob.blz25prdstrz07a.trafficmanager.net,,,,,,,No difference detected
blob.iad02prdstrz03a.trafficmanager.net,,,,,,,No difference detected
board-r.wbx2.com,,,,,,,No difference detected
bobdi-exter-1vqeilnw5zym1-5134ab8e5a874149.elb.us-east-1.amazonaws.com,,,,,,,No difference detected
brookhaven-dc.elwyn.org,,,,,,,No difference detected
browser.events.data.microsoft.com,,,,,,,No difference detected
browser.pipe.aria.microsoft.com,,,,,,,No difference detected
bytedance.map.fastly.net,,,,,,,No difference detected
c.pki.goog,,,,,,,No difference detected
cacerts.digicert.com,,,,,,,No difference detected
calendar-r.wbx2.com,,,,,,,No difference detected
call-rendezvous-r.wbx2.com,,,,,,,No difference detected
callcenter-1a.v.vonageservices.com,,,,,,,No difference detected
calliope-anycast.prod.infra.webex.com,,,,,,,No difference detected
canary-geo.wac.trafficmanager.net,,,,,,,No difference detected
canary.officeapps.live.com,,,,,,,No difference detected
candycrush-live.ext.p.midasplayer.cloud,,,,,,,No difference detected
capi.grammarly.com,,,,,,,No difference detected
cas-dc.splashtop.com,,,,,,,No difference detected
cdn-settings.segment.com,,,,,,,No difference detected
cdn-v4.amp-endpoint3.com,,,,,,,No difference detected
cdn-v6.amp-endpoint3.com,,,,,,,No difference detected
cdn-v6.amp-endpoint3.com.elwyn.org,,,,,,,No difference detected
cdn.honey.io,,,,,,,No difference detected
cdn.iads.unity3d.com,,,,,,,No difference detected
cdn.native.creditkarma.com,,,,,,,No difference detected
cdn.oaistatic.com,,,,,,,No difference detected
cdn.walkme.com,,,,,,,No difference detected
cdn3.forter.com,,,,,,,No difference detected
census-app.scorecardresearch.com,,,,,,,No difference detected
chatgpt.com,,,,,,,No difference detected
ciscowebex.d1.sc.omtrdc.net,,,,,,,No difference detected
cl2-cdn.origin-apple.com.akadns.net,,,,,,,No difference detected
cl2.apple.com,,,,,,,No difference detected
cl2.g.aaplimg.com,,,,,,,No difference detected
client-logs-r.wbx2.com,,,,,,,No difference detected
client-upgrade-a.wbx2.com,,,,,,,No difference detected
client.wns.windows.com,,,,,,,No difference detected
clients.config.office.net,,,,,,,No difference detected
clients2.google.com,,,,,,,No difference detected
clients3.google.com,,,,,,,No difference detected
clienttracing-pa.googleapis.com,,,,,,,No difference detected
cloud-mirror-lb.eastus.cloudapp.azure.com,,,,,,,No difference detected
cloud-rd.aerohive.com,,,,,,,No difference detected
cloudinary-res-news.isappcloud.com,,,,,,,No difference detected
common-geo.wac.trafficmanager.net,,,,,,,No difference detected
common.online.office.com,,,,,,,No difference detected
config-teams.s-0005.dual-s-msedge.net,,,,,,,No difference detected
config.edge.skype.com,,,,,,,No difference detected
config.edge.skype.com.trafficmanager.net,,,,,,,No difference detected
config.teams.microsoft.com,,,,,,,No difference detected
config.teams.trafficmanager.net,,,,,,,No difference detected
connectivity-test.static.microsoft,,,,,,,No difference detected
connectivity-test.usercontent.microsoft,,,,,,,No difference detected
connectivitycheck.gstatic.com,,,,,,,No difference detected
contacts-service-r.wbx2.com,,,,,,,No difference detected
conv-r.wbx2.com,,,,,,,No difference detected
copilot.cloud.microsoft,,,,,,,No difference detected
core-b8mf.tk0x1.com,,,,,,,No difference detected
cosmic-southcentralus-ns-3775dd20150e.trafficmanager.net,,,,,,,No difference detected
cp801.prod.do.dsp.mp.microsoft.com,,,,,,,No difference detected
crashlyticsreports-pa.googleapis.com,,,,,,,No difference detected
